codigo_curso;Código_da_IES;Sigla_da_IES;Nome_daIES;Categoria_Administrativa;Organização_Acadêmica;Situaçao_da_IES;Sinalização_da_IES;Código_do_Curso;Nome_do_Curso;Grau;Modalidade;Situação_do_Curso;Qt._Vagas_Autorizadas;Carga_Horária;Tipo_de_Periodicidade;Integralização_-_Turno_Integral;Quantitativo_de_Vagas_-_Integral;Integralização_-_Turno_Matutino;Quantitativo_de_Vagas_-_Matutino;Integralização_-_Turno_Vespertino;Quantitativo_de_Vagas_-_Vespertino;Integralização_-_Turno_Noturno;Quantitativo_de_Vagas_-_Noturno;Sinalização_do_Curso;Código_do_Endereço;Nome_do_Campus;Endereço;Número_Endereço;Complemento;Bairro;Código_do_Município;Município;UF;Início_Funcionamento;Data_Ato_de_Criação;Valor_CC;Ano_CC;CPC_Faixa;CPC_Contínuo;CPC_Ano;Valor_IDD;IDD_Ano;Valor_ENADE;ENADE_Ano;Código_Rótulo_CINE;Rótulo_CINE;Código_Área_Detalhada_CINE;Área_Detalhada_CINE;Código_Área_Específica_CINE;Área_Específica_CINE;Código_Área_Geral_CINE;Área_Geral_CINE
1;374;FMU;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;Privada sem fins lucrativos;Centro Universitário;Ativa;;19641;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;350;3303;Semestral;;;8.00 Semestres;110;;;8.00 Semestres;240;;657863;FMU - Liberdade;Rua Taguá;150;Prédio 1 - Campus Liberdade  I;Liberdade;3550308;São Paulo;SP;01/04/1999;16/03/1999;3;2018;3;283;2017;3;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;1385;FIPEP;FACULDADES INTEGRADAS IPEP;Privada sem fins lucrativos;Faculdade;Ativa;;40086;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;135;3200;Semestral;;;8.0 Semestres;0;;;8.0 Semestres;135;;25552;Campus Liberdade;Rua Pirapitingui;186;;Liberdade;3550308;São Paulo;SP;01/08/1999;24/06/1999;4;2006;;;;4;2005;2;2008;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;466;UAM;UNIVERSIDADE ANHEMBI MORUMBI;Privada com fins lucrativos;Universidade;Ativa;;120920;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;130;3303;Semestral;;;8.00 Semestres;50;8.00 semestres;30;8.00 Semestres;50;;33621;CAMPUS PAULISTA;Av. Paulista;2000;;Bela Vista;3550308;São Paulo;SP;01/08/2009;27/11/1997;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;Ativa;;1484128;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;80;3200;Semestral;;;8.00 Semestres;40;;;8.00 Semestres;40;;1095581;Unidade Vila Leopoldina;Avenida Imperatriz Leopoldina;184;Unidade Vila Leopoldina;Vila Leopoldina;3550308;São Paulo;SP;12/04/2019;12/04/2019;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;221;UNICSUL;UNIVERSIDADE CRUZEIRO DO SUL;Privada com fins lucrativos;Universidade;Ativa;;1427562;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;200;3200;Semestral;;;8.00 Semestres;100;;;8.00 Semestres;100;;1085415;POLO SP_PAULISTA;Avenida Paulista;1.415;Campus Paulista;Bela Vista;3550308;São Paulo;SP;19/02/2018;17/11/2017;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;316;UNINOVE;UNIVERSIDADE NOVE DE JULHO;Privada sem fins lucrativos;Universidade;Ativa;;7142;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;780;3640;Semestral;;;8.00 Semestres;310;;;8.00 Semestres;470;;657833;VILA MARIA;Rua Diamantina;302;;Vila Maria;3550308;São Paulo;SP;03/09/1992;31/07/1992;;;4;304;2017;3;2017;2;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;417;UNICID;UNIVERSIDADE CIDADE DE SÃO PAULO;Privada com fins lucrativos;Universidade;Ativa;;20041;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;240;3200;Semestral;;;8.00 Semestres;90;;;8.00 Semestres;150;;1002328;Universidade Cidade de São Paulo - UNICID - Sede;Rua Cesário Galero;448/475;474;Tatuapé;3550308;São Paulo;SP;08/02/1999;17/08/1998;;;4;308;2017;3;2017;2;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;322;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade;Ativa;;65890;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;460;3000;Semestral;;;8.0 Semestres;230;;;8.0 Semestres;230;;2643;Campus VII - MARQUÊS;Avenida Marquês de São Vicente;3001;;Água Branca;3550308;São Paulo;SP;14/02/2002;;;;3;270;2017;3;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;481;Univeritas UNG;Universidade Universus Veritas Guarulhos;Privada sem fins lucrativos;Universidade;Ativa;Unificação de Mantidas;109554;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;120;3602;Semestral;;;8.0 Semestres;0;;;8.0 Semestres;120;Visita Obrigatória no Próximo Ato;1077702;Brigadeiro;Avenida Brigadeiro Luís Antônio;909/917;- de 701 a 1499 - lado ímpar;Bela Vista;3550308;São Paulo;SP;09/02/2009;06/02/2008;4;2012;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;316;UNINOVE;UNIVERSIDADE NOVE DE JULHO;Privada sem fins lucrativos;Universidade;Ativa;;111980;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;350;3640;Semestral;;;8.00 Semestres;115;;;8.00 Semestres;235;;25206;SANTO AMARO;Rua Amador Bueno;389/491;;Santo Amaro;3550308;São Paulo;SP;19/02/2008;31/07/1992;;;3;287;2017;3;2017;1;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;316;UNINOVE;UNIVERSIDADE NOVE DE JULHO;Privada sem fins lucrativos;Universidade;Ativa;;1279527;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;560;3640;Semestral;;;8.00 Semestres;205;;;8.00 Semestres;355;;1063075;VILA PRUDENTE;Avenida Professor Luiz Ignácio Anhaia Mello;1363;- até 2001 - lado ímpar;Vila Prudente;3550308;São Paulo;SP;05/02/2007;31/07/1992;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;221;UNICSUL;UNIVERSIDADE CRUZEIRO DO SUL;Privada com fins lucrativos;Universidade;Ativa;;1563384;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;200;3200;Semestral;;;8.00 Semestres;100;;;8.00 Semestres;100;;1122401;CAMPUS VILLA LOBOS;AVENIDA IMPERATRIZ LEOPOLDINA,;550;;VILA LEOPOLDINA;3550308;São Paulo;SP;24/02/2021;23/02/2021;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;1365;UNASP;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO;Privada sem fins lucrativos;Centro Universitário;Ativa;;42236;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;60;3340;Semestral;;;8.0 Semestres;0;;;8.0 Semestres;60;;658431;UNASP Campus São Paulo;Estrada de Itapecerica;5859;;Jardim IAE;3550308;São Paulo;SP;01/02/2000;22/09/1999;;;3;268;2017;3;2017;2;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;3985;SENACSP;CENTRO UNIVERSITÁRIO SENAC;Privada sem fins lucrativos;Centro Universitário;Ativa;;18818;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;110;3204;Semestral;;;;;;;8.00 Semestres;110;;659695;SAO PAULO (SEDE);Av. Engenheiro Eusébio Stevaux;nº 823;;Jurubatuba;3550308;São Paulo;SP;01/07/1999;24/11/1998;;;4;376;2017;5;2017;4;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;322;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade;Ativa;;38834;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;460;3000;Semestral;;;8.0 Semestres;230;;;8.0 Semestres;230;;2641;Campus V -  Chácara Santo Antônio;Rua Cancioneiro Popular;210;;Santo Amaro;3550308;São Paulo;SP;14/02/2000;06/10/1987;;;3;243;2017;3;2017;2;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;322;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade;Ativa;;65878;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;460;3000;Semestral;;;8.0 Semestres;230;;;8.0 Semestres;230;;10095;Campus XIII - Paraíso;Rua Vergueiro;1211;;Aclimação;3550308;São Paulo;SP;14/02/2002;;3;2012;3;240;2017;3;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;Ativa;;1420186;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;180;3200;Semestral;;;8.00 Semestres;90;;;8.00 Semestres;90;;1082210;Unidade Santo Amaro;Av. Alexandre Dumas;2016;Unidade Santo Amaro;Chácara Santo Antônio (Zona Sul);3550308;São Paulo;SP;26/03/2021;17/08/2017;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;254;UNI-BAN;CENTRO UNIVERSITÁRIO UNI-BAN;Privada com fins lucrativos;Centro Universitário;Ativa;Unificação de Mantidas;1516261;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;100;3200;Semestral;;;8.00 Semestres;40;8.00 semestres;30;8.00 Semestres;30;;1105209;Nova Sede UNI-BAN;Rua Maria Cândida;1789;Nova Sede UNI-BAN;Vila Guilherme;3550308;São Paulo;SP;10/02/2020;25/09/2019;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;322;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade;Ativa;;1155950;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;230;3000;Semestral;;;;;;;8.0 Semestres;230;;2645;Campus IX- Pinheiros;Rua Pe. Carvalho;566;;Pinheiros;3550308;São Paulo;SP;10/02/2009;;;;3;269;2017;3;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;546;PUCSP;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;Privada sem fins lucrativos;Universidade;Ativa;;11238;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;50;3200;Semestral;;;8.00 Semestres;50;;;;;;1794;Campus Consolação (Marquês de Paranaguá);Rua Marquês de Paranaguá;111;;Consolação;3550308;São Paulo;SP;01/01/1986;27/03/1985;;;3;250;2017;2;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;10323;BANDTEC;FACULDADE DE TECNOLOGIA BANDEIRANTES;Privada com fins lucrativos;Faculdade;Ativa;;1366232;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;50;3880;Anual;4.00 Anos;50;;;;;;;;1080141;Unidade II Paulista;Rua Haddock Lobo;595;Unidade II Paulista;Cerqueira César;3550308;São Paulo;SP;27/01/2020;01/10/2018;4;2017;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;203;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;Ativa;;1420185;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;180;3200;Semestral;;;8.00 Semestres;90;;;8.00 Semestres;90;;1082211;Paulista;Avenida Angélica;2563;Paulista;Bela Vista;3550308;São Paulo;SP;01/02/2018;17/08/2017;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
