codigo_curso;Sigla_da_IES;Nome_da_IES;Categoria_Administrativa;Organização_Acadêmica;Nome_do_Curso;Grau;Modalidade;Situação_do_Curso;Qt_Vagas_Autorizadas;Carga_Horária;Tipo_de_Periodicidade;Integralização_Turno_Integral;Quantitativo_de_Vagas_Integral;Integralização_Turno_Matutino;Quantitativo_de_Vagas_Matutino;Integralização_Turno_Vespertino;Quantitativo_de_Vagas_Vespertino;Integralização_Turno_Noturno;Quantitativo_de_Vagas_Noturno;Sinalização_do_Curso;Código_do_Endereço;Nome_do_Campus;Endereço;Número_Endereço;Complemento;Bairro
1;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;80;3600;Semestral;;;10.0 Semestres;40;;;10.0 Semestres;40;;1097321;Unidade Santana;Rua Voluntários da Pátria;2624;- de 2622 a 2898 - lado par;Santana
1;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;360;4400;Semestral;;;10.0 Semestres;90;10.0 semestres;90;10.0 Semestres;180;;657779;UNIDADE SEDE;Rua Taquari;546;;Mooca
1;;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;Privada com fins lucrativos;Centro Universitário;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em extinção;150;3900;Semestral;;;;;;;10.00 Semestres;150;;1056227;CAMPO LIMPO;Estrada do Campo Limpo;3677;;Campo Limpo
1;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;80;3600;Semestral;;;10.0 Semestres;40;;;10.0 Semestres;40;;1095581;Unidade Vila Leopoldina;Avenida Imperatriz Leopoldina;184;Unidade Vila Leopoldina;Vila Leopoldina
1;;FIAP - Centro Universitário;Privada com fins lucrativos;Centro Universitário;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;300;3600;Anual;;;5.00 Anos;150;;;5.00 Anos;150;;658138;UNIDADE SEDE;Avenida Lins de Vasconcelos;1264;;Cambuci
1;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;460;3600;Semestral;;;10.0 Semestres;230;;;10.0 Semestres;230;;2639;Campus III - Anchieta;Rua Francisco Bautista;300;Km 12 da Rodovia Anchieta;Jardim Santa Cruz
1;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;180;3780;Semestral;;;10.00 Semestres;90;;;10.00 Semestres;90;;1082211;Paulista;Avenida Angélica;2563;Paulista;Bela Vista
1;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;180;3600;Semestral;;;10.00 Semestres;90;;;10.00 Semestres;90;;1082210;Unidade Santo Amaro;Av. Alexandre Dumas;2016;Unidade Santo Amaro;Chácara Santo Antônio (Zona Sul)
1;USP;UNIVERSIDADE DE SÃO PAULO;Pública Estadual;Universidade;ENGENHARIA DE COMPUTAçãO - ÊNFASE SISTEMAS CORPORATIVOS;Bacharelado;Educação Presencial;Em atividade;1;6690;Quadrimestral;15.0 Quadrimestres;1;;;;;;;;1075920;Escola Politécnica - EP;Avenida Professor Luciano Gualberto;380;Travessa 03 (Escola Politécnica);Butantã
1;CAM;Centro Universitário das Américas;Privada com fins lucrativos;Centro Universitário;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;320;4440;Semestral;;;10.00 Semestres;160;;;10.00 Semestres;160;;1055967;Rua Augusta;Rua Augusta;1520;1508 a;Consolação
1;FVG;Faculdade Van Gogh;Privada com fins lucrativos;Faculdade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;80;4000;Semestral;;;;;10.00 semestres;40;10.00 Semestres;40;;1112308;FVG;Rua Bento Quirino;467;FVG;Vila Talarico
1;UNASP;CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO;Privada sem fins lucrativos;Centro Universitário;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;120;3980;Semestral;;;10.0 Semestres;60;;;10.0 Semestres;60;;658431;UNASP Campus São Paulo;Estrada de Itapecerica;5859;;Jardim IAE
1;;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;Privada com fins lucrativos;Centro Universitário;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em extinção;100;3600;Semestral;;;10.00 Semestres;50;;;10.00 Semestres;50;;1068088;Belenzinho;Rua Siqueira Bueno;929;- de 441/442 a 1398/1399;Belenzinho
1;;INSPER INSTITUTO DE ENSINO E PESQUISA;Privada sem fins lucrativos;Faculdade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;100;4130;Semestral;10.0 Semestres;100;;;;;;;;658295;Unidade SEDE;Rua Quatá;300;;Vila Olímpia
1;ESTÁCIO SÃO PAULO;Centro Universitário Estácio de São Paulo;Privada com fins lucrativos;Centro Universitário;ENGENHARIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Extinto;450;3600;Semestral;;;10.0 Semestres;150;;;10.0 Semestres;300;;1437;JABAQUARA;Avenida Jabaquara;1870;;Saúde
1;UNIFAI;CENTRO UNIVERSITÁRIO ASSUNÇÃO;Privada sem fins lucrativos;Centro Universitário;ENGENHARIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Extinto;120;4520;Semestral;;;10.0 Semestres;60;;;10.0 Semestres;60;Em Desativação/Extinção voluntária;1004173;Vila Mariana;Rua Afonso Celso;671/711;- de 631/632 a 1029/1030;Vila Mariana
1;ESTÁCIO SÃO PAULO;Centro Universitário Estácio de São Paulo;Privada com fins lucrativos;Centro Universitário;ENGENHARIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Extinto;450;3600;Semestral;;;10.0 Semestres;150;;;10.0 Semestres;300;;24332;VILA DOS REMÉDIOS;Avenida dos Remédios;810;;Vila dos Remédios
1;;Centro Universitário UNIBTA;Privada com fins lucrativos;Centro Universitário;ENGENHARIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;100;4160;Semestral;;;;;;;10.00 Semestres;100;;1082239;Centro Universitário UNIBTA;Rua Cubatão;726;Centro Universitário UNIBTA;Vila Mariana
1;ESTÁCIO SÃO PAULO;Centro Universitário Estácio de São Paulo;Privada com fins lucrativos;Centro Universitário;ENGENHARIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Extinto;200;3600;Semestral;;;;;;;10.0 Semestres;200;;658105;SANTO AMARO;Rua Promotor Gabriel Netuzzi Perez;108;SANTO AMARO;Santo Amaro
